drugName	cui	tty
Rauzide	C0722986	BN
Raxar	C0595753	BN
Razadyne	C1612436	BN
Razoxin	C0678114	BN
Re All 12	C1813414	BN
Re Tann	C1615240	BN
Re-Azo	C0722987	BN
ReFacto	C0971600	BN
ReVia	C0591842	BN
Rea-Lo Lotion	C0722989	BN
Rea-Lo	C0722988	BN
Rebetol	C1170576	BN
Rebif	C0752980	BN
Reclast	C1948540	BN
Reclipsen	C1629895	BN
Recofen D	C0722991	BN
Recofen Plus	C0722992	BN
Recombinant Interferon	C1522537	IN
Recombinant antihemophilic factor preparation	C1443674	IN
Recombinant coagulation factor VIIa	C0795575	IN
Recombinant human follicle stimulating hormone beta	C1273038	IN
Recombinant interferon beta-1a	C0982234	IN
Recombinant interferon beta-1b	C0244714	IN
Recombinate	C0218182	BN
Recombivax HB Adult	C1330496	BN
Recombivax HB Pediatric/Adolescent	C1330497	BN
Recombivax HB	C0140114	BN
Recormon	C0376540	BN
Recort Plus	C0722993	BN
Rectacaine	C0722994	BN
Rectacreame	C1613060	BN
Rectacreme HC	C1614166	BN
Rectagel HC	C1701283	BN
Rectasol-HC	C0722995	BN
Rectasol	C1170577	BN
Rectocort HC	C0722996	BN
Red Clover Preparation	C0939844	IN
Rederm	C0722997	BN
Redness Eyes Plus	C0722998	BN
Redness Relief	C0722999	BN
Redoxon	C0592035	BN
Redur-PCM	C1813871	BN
Redutemp	C0723000	BN
Redux	C0728749	BN
Refenesen PE	C1875997	BN
Refludan	C0661608	BN
Refolinon	C0592036	BN
Refresh Liquigel	C1330498	BN
Refresh PM	C0723002	BN
Regitine	C0136603	BN
Reglan	C0034977	BN
Regonol	C0723004	BN
Regranex	C0723005	BN
Regroton	C0622666	BN
Regulax SS	C0723006	BN
Reguloid	C0723007	BN
Rehydralyte	C1170578	BN
Relacon Lax	C1700816	BN
Relacon-DM NR	C1637313	BN
Relacon-DM	C1330502	BN
Relacon-HC NR	C1646067	BN
Relacon-HC	C1330503	BN
Relafen	C0701331	BN
Relagard	C1330504	BN
Relagesic	C1170579	BN
Relasin DM	C1736212	BN
Relasin HC	C1735961	BN
Relax-DS	C1602803	BN
Relaxazone	C0723008	BN
Relaxin	C0035031	BN
Relaxyl	C0592039	BN
Relcofen	C0592040	BN
Relenza	C0876148	BN
Relera	C1630425	BN
ReliOn R/Novolin	C1949389	BN
ReliOn/Novolin 70/30	C1949541	BN
ReliOn/Novolin N	C1949545	BN
Reliable Gentle Laxative	C0723010	BN
Reliable Gentle	C0723009	BN
Relief brand of phenylephrine	C0723011	BN
Relifex	C0592043	BN
Relpax	C1171655	BN
Reluri	C1740890	BN
Reme Hist DM	C1962099	BN
Reme Tussin DM	C1813875	BN
Reme-T	C0876149	BN
Remergent HQ	C1828970	BN
Remeron SolTab	C0939464	BN
Remeron	C0525726	BN
Remicade	C0723012	BN
Remifentanil hydrochloride	C0771827	IN
Reminyl	C0939465	BN
Remnos	C0700009	BN
Remodulin	C1101501	BN
Remoxipride Hydrochloride	C0771022	IN
Remoxipride	C0073047	IN
Remular-S	C0723014	BN
Remular	C0723013	BN
RenaGel	C0526563	BN
Renacidin	C0073048	BN
Renamin	C0723016	BN
Rendells	C1171550	BN
Renese-R	C0723017	BN
Renese	C0728773	BN
Renitec	C0600128	BN
Reno M-Dip	C0813725	BN
Reno-30	C0876150	BN
Reno-Dip	C0876151	BN
Reno-M-30	C0723018	BN
Reno-M-60	C0723019	BN
RenoCal	C1829346	BN
Renocal-76	C0876152	BN
Renografin-76	C0310015	BN
Renografin	C0733896	BN
Renova brand of tretinoin	C0723021	BN
Renovist II	C0733723	BN
Renovist	C0723022	BN
Renovue-65	C0723023	BN
Renovue-Dip	C0723024	BN
Rentamine Pediatric	C0723026	BN
Rentamine	C0723025	BN
ReoPro	C0592046	BN
Repan CF	C0723028	BN
Repan	C0723027	BN
Replenine-VF	C0732886	BN
Replenine	C0592047	BN
Reprexain 7.5/200	C1949497	BN
Reprexain	C1618289	BN
Repronex	C0723029	BN
Reproterol hydrochloride	C0771023	IN
Requip	C0593342	BN
Resaid	C0723030	BN
Rescon Jr	C0723032	BN
Rescon Liquid	C0876153	BN
Rescon-DM	C0876762	BN
Rescon-Ed	C0723034	BN
Rescon-GG	C0876154	BN
Rescon-MX Reformulated Oct 2006	C1737198	BN
Rescon-MX	C0723033	BN
Rescon	C0723031	BN
Rescriptor	C0699884	BN
Rescudose	C0723035	BN
Rescufolin	C1177012	BN
Resectisol	C0699452	BN
Reserpine	C0035179	IN
Respa AR	C1330507	BN
Respa DM	C0723039	BN
Respa-1st	C0723037	BN
Respa-A.R.	C1170583	BN
Respa-A.R.M.	C0723038	BN
Respa-GF	C0723040	BN
Respa-PE	C1617258	BN
Respa	C1602702	BN
Respahist	C0723041	BN
Respaire-120 SR	C0723042	BN
Respaire-60 SR	C0723043	BN
Respbid	C0700843	BN
Resperal-DM Drops	C1948307	BN
Resperal	C1949562	BN
Respi-TANN	C1330508	BN
Respi-Tann G	C1813724	BN
Respi-Tann Pd	C1628414	BN
Respigam	C0388014	BN
Respillin	C0595005	BN
Respirol	C0723044	BN
Respontin Nebules	C1254233	BN
Restall	C1590155	BN
Restandol	C0592050	BN
Restasis	C1170584	BN
Restoril	C0723045	BN
Reteplase	C0256103	IN
Retin A Micro Gel	C0723047	BN
Retin-A Forte	C0730886	BN
Retin-A MICRO brand of tretinoin	C1171295	BN
Retin-A	C0593762	BN
Retisert	C1615794	BN
Retre-Gel	C0876763	BN
Retrovir	C0699576	BN
Rev-Eyes	C0723048	BN
Revanil	C0592053	BN
Revatio	C1614029	BN
Reversol	C0723049	BN
Revex	C0723050	BN
Revina	C1949417	BN
Reviparin sodium	C0254216	IN
Revive brand of caffeine	C0310031	BN
Revlimid	C1135145	BN
Rexolate	C0723052	BN
Reyataz	C1258207	BN
Rezamid	C0723053	BN
Rezine	C0723054	BN
Rezulin	C0701265	BN
Rheaban Maximum Strength	C0723055	BN
Rheomacrodex	C0035424	BN
Rheuflex	C1186779	BN
Rheumacin LA	C0592054	BN
Rheumatac Retard	C0732163	BN
Rheumatrex	C1513197	BN
Rheumox	C0592055	BN
RhinaHist	C1949376	BN
Rhinabid PD	C1629480	BN
Rhinabid	C1638386	BN
Rhinacon A	C1330509	BN
Rhinacon DH	C1588441	BN
Rhinall	C0876155	BN
Rhinatate 12 Pediatric	C1589250	BN
Rhinatate Pediatric	C0723058	BN
Rhinatate	C0723057	BN
Rhindecon	C0723059	BN
RhinoFlex 650	C1961933	BN
Rhinocaps	C0723060	BN
Rhinocort Aqua	C0592056	BN
Rhinocort	C0678163	BN
Rhinoflex	C0939467	BN
Rhinogesic	C0723061	BN
Rhinolar-EX 12	C0723063	BN
Rhinolar-EX	C0723062	BN
Rhinolar	C0140416	BN
Rhinolast Hayfever	C0594457	BN
Rhinosyn-DM	C0723064	BN
Rhinosyn-DMX	C0723065	BN
Rhinosyn-X	C0723066	BN
Rho(D) Immune Globulin	C0073188	IN
RhoGAM	C0702053	BN
Rhophylac	C1617586	BN
Rhubarb preparation	C0304561	IN
Rhumalgan CR	C0592058	BN
Rhumalgan	C0592057	BN
Ri-Gel II	C0723068	BN
Ri-Mag	C0723069	BN
Ri-Mox Plus	C0723071	BN
Ri-Mox	C0723070	BN
Ri-Tussin DM	C0723073	BN
Ri-Tussin	C0723072	BN
RibaPak	C1703268	BN
RibaTab	C1878903	BN
Ribasphere	C1564336	BN
Ribavirin	C0035525	IN
Riboflavin	C0035527	IN
Ricinoleate	C0178834	IN
Ricobid D	C1589259	BN
Ricobid H	C1589205	BN
Ricobid	C1602728	BN
Ricola	C1878866	BN
Ricotuss D	C1589144	BN
Ricotuss	C1589136	BN
Ridactate	C0723078	BN
Ridafed	C0723079	BN
Ridaura	C0699923	BN
Ridenol	C0723080	BN
Rideril	C0592059	BN
Ridifed	C0723081	BN
Ridiprin	C0723082	BN
Ridramin	C0723083	BN
Rifabutin	C0140575	IN
Rifadin IV	C0723084	BN
Rifadin	C0699924	BN
Rifamate	C0723085	BN
Rifampin	C0035608	IN
Rifamycins	C0035609	IN
Rifater	C0254617	BN
Rilutek	C0678179	BN
Riluzole	C0073379	IN
Rimacid	C0592061	BN
Rimacillin	C0592062	BN
Rimactane	C0699925	BN
Rimadyl	C1702507	BN
Rimafen	C0592063	BN
Rimantadine	C0035629	IN
Rimantidine	C1601617	BN
Rimapam	C0592064	BN
Rimapurinol	C0592065	BN
Rimiterol hydrobromide	C0700493	IN
Rimoxallin	C0592067	BN
Rimoxyn	C0592068	BN
Rimso-50	C0307485	BN
Rinade-B.I.D.	C0723086	BN
Rinate	C1724646	BN
Rinatec	C0592069	BN
Rindal HD Plus	C1654125	BN
Rindal HPD	C1633778	BN
Rindal-HD	C0723087	BN
Ringer's solution	C0073386	IN
Riomet	C1330510	BN
Riopan Plus 2	C0723092	BN
Riopan Plus Double Strength	C0723093	BN
Riopan Plus	C0723091	BN
Riopan	C0723090	BN
Risedronate	C0246719	IN
Rispas	C1702549	BN
Risperdal Consta	C1320098	BN
Risperdal M-Tab	C1330511	BN
Risperdal	C0592071	BN
Risperidone	C0073393	IN
Ritalin LA	C1170586	BN
Ritalin-SR	C0723094	BN
Ritalin	C0728759	BN
Ritifed	C0723095	BN
Ritodrine hydrochloride	C0356649	IN
Ritodrine	C0035661	IN
Ritonavir	C0292818	IN
Rituxan	C0732355	BN
Rivotril	C0699317	BN
Rizatriptan benzoate	C0772420	IN
Ro-A-Vit	C0592072	BN
Robadex	C1602382	BN
Robafen AC	C0723097	BN
Robafen CF	C0723098	BN
Robafen DM	C0723099	BN
Robafen PE	C0723100	BN
Robafen Pediatric Cough & Cold	C0723101	BN
Robafen	C0723096	BN
Robalog	C1588686	BN
Robaxin-750	C0723103	BN
Robaxin	C0699926	BN
Robaxisal	C0620726	BN
Robichem AC	C0723105	BN
Robichem DM	C0723106	BN
Robichem PE	C0723107	BN
Robichem	C0723104	BN
Robimycin	C0699344	BN
Robinul Forte	C0723108	BN
Robinul-Neostigmine	C0730892	BN
Robinul	C0592075	BN
Robitet 500	C0723109	BN
Robitussin Allergy & Cough	C1636232	BN
Robitussin Cold Cough and Flu	C0723111	BN
Robitussin Cold and Cough	C0723112	BN
Robitussin Cough & Cold CF	C1813418	BN
Robitussin Cough Calmers	C0307504	BN
Robitussin Cough Drop Cherry	C0723113	BN
Robitussin Cough Drop Menthol Eucalyptus	C0723115	BN
Robitussin Cough Drop Sugar Free	C0723116	BN
Robitussin Cough Drop	C1723984	BN
Robitussin DM Infant Drops	C1813424	BN
Robitussin Honey Cough	C0876156	BN
Robitussin Honey Flu Nighttime	C0876157	BN
Robitussin Honey Flu Non-Drowsy	C0876158	BN
Robitussin Maximum Strength Cough & Cold	C0723118	BN
Robitussin Maximum Strength	C0723117	BN
Robitussin Night Cold	C0723119	BN
Robitussin Night Relief	C0307505	BN
Robitussin PM Cough & Cold	C1635062	BN
Robitussin Pediatric Cough & Cold Nighttime	C1948344	BN
Robitussin Pediatric Cough & Cold	C0723120	BN
Robitussin Pediatric Cough Suppressant	C0723121	BN
Robitussin Pediatric Cough and Decongestant	C0723122	BN
Robitussin Pediatric Night Relief	C0723123	BN
Robitussin Severe Congestion	C0723124	BN
Robitussin-AC	C0723125	BN
Robitussin-CF	C0307507	BN
Robitussin-DAC	C0307508	BN
Robitussin-DM	C0307509	BN
Robitussin-PE	C0307510	BN
Robitussin-SF	C0939470	BN
Robitussin	C0723110	BN
Rocaltrol	C0592076	BN
Roccal	C0730893	BN
Rocephin	C0035750	BN
Rocuronium	C0209337	IN
Roferon-A	C0699179	BN
Rogaine Extra Strength	C0723128	BN
Rogaine	C0730881	BN
Rogitine	C0592077	BN
Rohist	C0723129	BN
Rolaids Multi-Symptom	C1878906	BN
Rolaids Reformulated Aug 2006	C1704371	BN
Rolaids Sodium Free	C0723131	BN
Rolaids Softchews	C1723980	BN
Rolaids	C0723130	BN
Rolatuss with Hydrocodone	C0723133	BN
Rolatuss-SR	C0723134	BN
Rolatuss	C0723132	BN
Rolitetracycline	C0035823	IN
Romazicon	C0591091	BN
Romilar AC	C0723136	BN
Rommix	C0592078	BN
Romozin	C0595409	BN
Romycin	C0723137	BN
Ron Acid	C1630453	BN
Rondameth	C0723138	BN
Rondamine DM	C0723140	BN
Rondamine TR	C0939471	BN
Rondamine	C0723139	BN
Rondec DM Drops	C0307519	BN
Rondec DM	C0164518	BN
Rondec Drops	C0307516	BN
Rondec-TR	C0876159	BN
Rondec	C0723141	BN
Rondex-DM	C1701926	BN
Rondex	C0035834	BN
Ronoxidil	C0723143	BN
Ropinirole hydrochloride	C0771840	IN
Ropivacaine hydrochloride	C0771826	IN
Rosac	C1330518	BN
Rosaderm Cleanser	C1589454	BN
Rosanil	C1170591	BN
Rose Bengal Sodium I 131	C0282340	IN
Rose Bengal	C0035857	IN
Rose Hips C	C0719060	BN
Rosiglitazone maleate	C0795660	IN
Rosmarinus Officinalis Preparation	C0993639	IN
Rosula Cleanser	C1170593	BN
Rosula	C1170592	BN
Rosuvastatin calcium	C1101751	IN
RotaShield	C0723145	BN
Rotavirus Vaccines	C0597418	IN
Rotersept	C0035872	BN
Rotigotine	C1700683	IN
Rowasa	C0699623	BN
Roxanol UD	C0723146	BN
Roxanol-T	C0723147	BN
Roxanol	C0700788	BN
Roxicet	C0723148	BN
Roxicodone	C0723149	BN
Roxilox	C0723150	BN
Roxiprin	C0723151	BN
Roxithromycin	C0035891	IN
Roymicin	C0723152	BN
Rozerem	C1621477	BN
Rozex	C0592081	BN
Ru Tuss DE	C0723153	BN
Ru Tuss-DM	C1170594	BN
Ru-Tab	C0723155	BN
Ru-Tuss 800 DM	C1170595	BN
Ru-Tuss Expectorant	C0723156	BN
Ru-Tuss Jr.	C1961936	BN
Ru-Tuss Reformulated Aug 2007	C1961900	BN
Ru-Tuss with Hydrocodone	C0307536	BN
Ru-Tuss	C0610835	BN
Ru-Vert-M	C0035915	BN
Rubella virus vaccine	C0035923	IN
Rubex	C0699076	BN
Rubramin PC	C1962186	BN
Rufen	C0699206	BN
Rulox #1	C0723158	BN
Rulox #2	C0723159	BN
Rulox Plus	C0723160	BN
Rulox	C0723157	BN
Rum-K	C0700919	BN
Rusyde	C0592082	BN
Ruta graveolens preparation	C0939812	IN
Rutin	C0035976	IN
Rutuss	C0876160	BN
Rx Triamcinolone	C0723161	BN
Rx-Otic	C0876161	BN
Ry-T-12	C1589256	BN
Ry-Tuss Pediatric	C0876163	BN
Ry-Tuss	C0876162	BN
Rymed-TR	C0723163	BN
Rymed	C0723162	BN
Ryna 12 S	C1589253	BN
Ryna Liquid	C0307538	BN
Ryna-12	C0876764	BN
Ryna-12X	C1330520	BN
Ryna-C	C0723164	BN
Ryna-CX	C0723165	BN
Rynacrom	C0730900	BN
Rynatan Pediatric	C0723166	BN
Rynatan-S Pediatric	C0723167	BN
Rynatan	C0639386	BN
Rynatuss Pediatric	C0723169	BN
Rynatuss	C0723168	BN
Rynessa	C1724616	BN
Ryneze	C1612464	BN
Rythmol SR	C1330521	BN
Rythmol	C0282316	BN
S-2 Inhalant	C0723170	BN
S-Adenosylmethionine Sulfate Tosylate	C0036006	IN
S-Adenosylmethionine	C0036002	IN
S-Pack DM	C0723172	BN
S-Pack	C0723171	BN
S-Pak DM	C1170596	BN
S-T Febrol	C0723173	BN
S-T Forte 2	C0723175	BN
S-T Forte	C0723174	BN
S-benzoylmercaptoacetyltriglycine	C0672188	IN
S.O.S.S.	C1170597	BN
SAMARIUM SM 153 LEXIDRONAM PENTASODIUM	C0993551	IN
SAMARIUM Sm153	C0677942	IN
SARRACENIA PURPUREA preparation	C1165607	IN
SARSAPARILLA Preparation	C0771635	IN
SCOPARIUM	C0772344	IN
SD ALCOHOL 40	C0991871	IN
SECRETIN ACETATE	C1337361	IN
SELENIUM HVP CHELATE	C1384197	IN
SENNA CONCENTRATE	C0723270	IN
SENOKOT-S	C0723276	BN
SF 5000 Plus	C1170598	BN
SF Brand of Topical Fluoride	C0876942	BN
SIBERIAN GINSENG ROOT EXTRACT	C0873139	IN
SIBERIAN GINSENG ROOT	C0873055	IN
SILICON DIOXIDE,COLLOIDAL	C0982384	IN
SIMALDRATE	C0772035	IN
SIMETHICONE-CELLULOSE	C0937647	IN
SINUvent PE	C0939723	BN
SLIPPERY ELM BARK	C0873097	IN
SLT	C0723177	BN
SODIUM DIBUNATE	C0771059	IN
SODIUM LAURYL SULFOACETATE	C0982390	IN
SODIUM METHYLCAMPHORATE	C0771712	IN
SODIUM PANTOTHENATE	C0772245	IN
SODIUM PHENOLSULFONATE	C0772462	IN
SODIUM PHOS,M-BASIC-D-BASIC	C0772337	IN
SODIUM PHOSPHATE, DIBASIC, ANHYDROUS	C0982396	IN
SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE	C0724570	IN
SODIUM PHOSPHATE, MONOBASIC, ANHYDROUS	C1165377	IN
SODIUM PHOSPHATE,MONOBASIC,MONOHYDRATE	C0724635	IN
SODIUM PYROGLUTAMATE	C0770516	IN
SOMATORELIN	C1961852	IN
SOMATOSTATIN ACETATE	C0771322	IN
SOMATROPIN (RECOMBINANT DNA ORIGIN)	C0982403	IN
SOMATROPIN, E-COLI DERIVED	C0872974	IN
SOY GERM	C0873093	IN
SOY LECITHIN	C0872912	IN
SP RX 228	C1588561	BN
SPIKE LAVENDER OIL	C0772360	IN
SPONGIA TOSTA	C0771378	IN
SQUALENE OIL	C0795665	IN
SRC Expectorant	C0723178	BN
SSD AF	C0723180	BN
SSD RP	C1588557	BN
SSD	C0723179	BN
SSKI brand of Potassium Iodide	C1589396	BN
ST-37	C1813433	BN
ST. JOHN'S WORT EXTRACT	C0813171	IN
STANNOUS CHLORIDE,ANHYDROUS	C0982413	IN
STANNOUS TARTRATE	C0143559	IN
STOCK RAGWEED POLLEN MIXTURE	C0770733	IN
STRYCHNINE SULFATE	C0771302	IN
SULFACHRYSOIDINE SODIUM	C0772152	IN
SULFACHRYSOIDINE	C0772151	IN
SULFADIAZINE SODIUM	C0723509	IN
SULFATED MUCOPOLYSACCHARIDES	C0772078	IN
SULFATHIAZOLE SODIUM	C0771312	IN
SULFONATED PHENOL	C0772023	IN
SULFUR,COLLOIDAL	C0724561	IN
SULFURATED LIME	C0770684	IN
SUMBUL	C1166253	IN
SWEETLEAF Preparation	C0937844	IN
Saccharin Sodium	C0917900	IN
Saccharin	C0036023	IN
Saccharomyces boulardii lyo	C1655907	IN
Saccharomyces boulardii	C0772093	IN
Saccharomyces cerevisiae	C0036025	IN
Sacrosidase	C0718043	IN
Safe Tussin 30	C0723186	BN
Safetussin CD	C1724305	BN
Safflower Oil	C0036048	IN
Saizen	C0699618	BN
Sal-Plant Gel	C0307552	BN
Sal-Tropine	C0723187	BN
SalAc	C0699624	BN
Salactic Film	C0307553	BN
Salagen	C0699930	BN
Salamol Easi-Breathe	C0592087	BN
Salamol	C0592086	BN
Salazopyrin EN	C0592089	BN
Salazopyrin	C0592088	BN
Salbulin	C0592090	BN
Salbuvent Rondo	C1235687	BN
Salbuvent	C1171442	BN
Saleto-200	C0723189	BN
Saleto-400	C0723190	BN
Saleto-600	C0723191	BN
Saleto-800	C0723192	BN
Saleto-D	C0723193	BN
Saleto	C0723188	BN
Salex	C1588575	BN
Salflex	C0702071	BN
Salicin extract	C0874039	IN
Salicylic Acid	C0036079	IN
Saline Mist	C0723196	BN
Saline Nasal Mist	C0723197	BN
Saline Solution, Hypertonic	C0036085	IN
Saline Spray	C0723198	BN
Salinex	C0723199	BN
Salitop	C1949421	BN
Salix - substance	C1589696	BN
Saljet	C1703979	BN
Salmeterol xinafoate	C0245531	IN
Salonpas	C1741448	BN
Salsalate	C0073983	IN
Salsalte	C1615207	BN
Salsitab	C0723206	BN
Saluron	C0700906	BN
Salutensin-Demi	C0723208	BN
Salutensin	C0723207	BN
Salzone	C0592094	BN
Samarium SM 153 lexidronam	C0772051	IN
Samson 8	C1602532	BN
Sanctura	C1619316	BN
Sandimmune	C0699604	BN
Sandoglobulin	C0086952	BN
Sandostatin LAR Depot	C1170602	BN
Sandostatin LAR	C0723209	BN
Sandostatin	C0678117	BN
Sandoz brand of Amiodarone	C1577012	BN
Sandrena	C0594673	BN
Sanfed A	C1601787	BN
Sangcya	C0723210	BN
Sano Log	C1588689	BN
Sano-Drol	C1589466	BN
Sanomigran	C0592096	BN
Sanorex	C0728779	BN
Sansert	C0036177	BN
Santex LA	C1602313	BN
Santura	C1601591	BN
Santyl	C0723213	BN
Saquinavir Monomethanesulfonate	C0286737	IN
Saquinavir	C0286738	IN
Sarafem	C1692877	BN
Saralasin Acetate	C0030114	IN
Saralasin	C0036193	IN
Sarapin	C0074049	BN
Sarna Sensitive	C1638394	BN
Sarna Ultra	C1693939	BN
Sarna	C1519185	BN
Sarnol-HC	C0723216	BN
Sastid Soap	C0723217	BN
Saventrine	C0592097	BN
Savlon Dry	C0730788	BN
Saw palmetto extract	C0771607	IN
Scalp-Aid	C0723223	BN
Scalp-Cort	C0723224	BN
Scalpicin Scalp Relief	C1949427	BN
Scandonest 2% Special	C1271486	BN
Scandonest L	C1588412	BN
Scandonest	C1563819	BN
Scarlet Red	C0074127	IN
Schering PC4	C0592098	BN
Schiff Move Free	C1631121	BN
Schizandra preparation	C0141729	IN
Sclavo Test-PPD	C0723225	BN
Sclero Seal	C1590559	BN
Scleromate	C0702030	BN
Sclerosol	C1170604	BN
Sclromate	C0723226	BN
Scopace	C0723227	BN
Scopolamine Hydrobromide	C0036444	IN
Scopolamine	C0036442	IN
Scot Tussin Original	C0723229	BN
Scot-Tussin Allergy Relief Formula	C0723231	BN
Scot-Tussin DM Cough Chasers	C0723233	BN
Scot-Tussin DM	C0723232	BN
Scot-Tussin Diabetic	C0723234	BN
Scot-Tussin Senior	C0723235	BN
Scot-Tussin Sugar Free DM	C0723236	BN
Scot-Tussin	C0723230	BN
Sea Mist	C0723238	BN
Sea Soft	C0723239	BN
Sea-Omega 30	C1652517	BN
Sea-Omega	C0723241	BN
Seasonale	C1330524	BN
Seasonique	C1724431	BN
Seb-Prev Wash	C1949221	BN
Seb-Prev	C1724309	BN
Seba-Gel	C0723242	BN
Sebasorb	C0723244	BN
Sebex	C0723245	BN
Sebizon	C0723246	BN
Sebucare	C0723247	BN
Sebulex Shampoo with Conditioners	C0307567	BN
Sebulex Shampoo	C0723249	BN
Sebulex	C0723248	BN
Sebulon	C0723250	BN
Sebutone	C0723251	BN
Secobarbital sodium	C0304359	IN
Secobarbital	C0036516	IN
Seconal Sodium	C0592104	BN
SecreFlo	C1170605	BN
Secretin-Ferring	C0723252	BN
Secretin	C0036534	IN
Sectral	C0036543	BN
Secura	C1330526	BN
Securon IV	C0730789	BN
Securon SR	C0730790	BN
Securon	C0592105	BN
Securopen	C0036548	BN
Sedapap	C0723253	BN
Sel-Pen Blue	C0723254	BN
Seldane-D	C0659969	BN
Seldane	C0699931	BN
Sele-Pak	C0723255	BN
Selegilene	C1612984	BN
Selegiline Hydrochloride, (R)-Isomer	C0700467	IN
Selegiline	C0036579	IN
Selenious Acid	C0074280	IN
Selenite	C0036580	IN
Selenium	C0036581	IN
Selenomethionine Se 75	C0034616	IN
Selenomethionine	C0036584	IN
Selepen	C0723257	BN
Selestoject	C0723258	BN
Selseb	C1589537	BN
Selsun Blue 2 in 1	C0723261	BN
Selsun Blue Balanced Treatment	C0723262	BN
Selsun Blue Moisturizing Treatment	C0723263	BN
Selsun Blue	C0723260	BN
Selsun	C0723259	BN
Semi-Daonil	C0730792	BN
Semicid Contraceptive Suppositories	C0723266	BN
Semitard MC	C0730793	BN
Semprex-D	C0723267	BN
Senatec HC	C1701434	BN
Senatec	C1696202	BN
Senexon	C0723269	BN
Seniortopix Healix	C1170607	BN
Senna Extract	C0036656	IN
Senna Lax	C0723271	BN
Senna Leaf Extract	C1576662	IN
Senna Leaves	C0773826	IN
Senna Plus	C0876164	BN
Senna S	C0876165	BN
Senna-Relief Childs	C0723272	BN
Senna-gen	C0723273	BN
Sennalax S	C1737296	BN
Sennalax	C0723274	BN
Sennosides	C0074332	IN
SenoSol	C1651013	BN
Senokot Child	C0723275	BN
Senokot Extra	C0939475	BN
Senokot	C0699932	BN
SenokotXTRA	C1628298	BN
Senolax	C0723278	BN
Senormin	C0723279	BN
Senox	C0723280	BN
Sensi-Care	C1178610	BN
Sensi-Cream	C1178611	BN
Sensipak	C1601897	BN
Sensipar	C1435704	BN
Sensitive Eyes Redness Reliever	C0723281	BN
Sensorcaine with Epinephrine	C0723282	BN
Sensorcaine-MPF with Epinephrine	C0723284	BN
Sensorcaine-MPF	C0723283	BN
Sensorcaine	C0699883	BN
Sepia extract	C1166067	IN
Septa	C0723285	BN
Septi-Soft	C0723286	BN
Septisol	C0723287	BN
Septocaine	C0939725	BN
Septra DS	C1261720	BN
Septra I.V. Infusion	C1171373	BN
Septra	C0699595	BN
Septrin Forte	C0592108	BN
Septrin Pediatric	C0730795	BN
Septrin	C0699596	BN
Ser-Ap-Es	C0723291	BN
Seradex	C1949431	BN
Serathide	C0723292	BN
Serax	C0702214	BN
Serc-16	C0730796	BN
Serc-8	C0730797	BN
Serdolect	C0593204	BN
Serenace	C0592109	BN
Serenoa preparation	C1166208	IN
Serentil	C0036713	BN
Serevent Accuhaler	C1253983	BN
Serevent Diskus	C0723293	BN
Serevent	C0700491	BN
Serine	C0036720	IN
Sermorelin Acetate	C0162725	IN
Sermorelin	C0142046	IN
Seromycin	C0701966	BN
Serophene	C0036748	BN
Seroquel	C0287163	BN
Seroxat	C0678139	BN
Serpasil	C0729168	BN
Serpazide	C0723294	BN
Serpex	C0723295	BN
Sertraline Hydrochloride	C0600526	IN
Sertraline	C0074393	IN
Serutan	C0723296	BN
Serzone	C0591424	BN
Seudotabs	C0723300	BN
Sevelamer hydrochloride	C0772463	IN
Sevredol	C0592110	BN
Shark cartilage extract	C0281563	IN
Shark liver oil preparation	C0304888	IN
Shellcap PD	C0723302	BN
Shellcap	C0723301	BN
Shellgel	C1646041	BN
Shur-Seal Gel	C0723304	BN
Siberian ginseng preparation	C1095891	IN
Sibutramine hydrochloride monohydrate	C0724692	IN
Siderol	C0723305	BN
Sidmak brand of cyclosporine	C1165249	BN
Sidmak brand of theophylline	C1165277	BN
Sil Tex	C0723307	BN
Silace	C0723308	BN
Siladryl DAS	C0723310	BN
Siladryl	C0723309	BN
Siladyl SA	C0723311	BN
Silafed	C0723312	BN
Silaminic Expectorant	C0723313	BN
Silapap	C1641822	BN
Sildec DM	C0723314	BN
Sildec PE DM	C1703913	BN
Sildec PE	C1704163	BN
Sildec	C1330529	BN
Sildenafil citrate	C0724693	IN
Silicon Dioxide	C0037098	IN
Silicon	C0037107	IN
Silicones	C0037114	IN
Silphen Cough	C0723316	BN
Silphen DM	C0876166	BN
Siltane	C0723317	BN
Siltuss DAS	C0723318	BN
Siltussin SA	C1170608	BN
Siltussin-DM	C0723320	BN
Siltussin	C0723319	BN
Silvadene	C0728768	BN
Silver Nitrate	C0037129	IN
Silver Sulfadiazine	C0037134	IN
Silver	C0947651	IN
Silymarin	C0037135	IN
Simaal Gel	C0723321	BN
Simethicone	C0037138	IN
Simplene	C0730798	BN
Simplet	C0723323	BN
Simply Saline	C1170609	BN
Simply Sleep	C0876890	BN
Simron	C0723324	BN
Simuc-DM	C1638349	BN
Simuc-HD	C1640771	BN
Simuc	C1701435	BN
Simulect	C0723325	BN
Simvastatin	C0074554	IN
Sin-U-Span	C1170610	BN
Sina-12X	C1330531	BN
Sinapap	C0723326	BN
Sinapils	C0723327	BN
Sinarest Extra Strength	C0723329	BN
Sinarest Nasal	C0723330	BN
Sinarest Sinus	C0723331	BN
Sinarest	C0723328	BN
Sincalide	C0037167	IN
